evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position,loadavg_1min_before,loadavg_1min_after,wall_clock_s
measured_emulation,direct_ovs_cli,64,13,64,791496.419,12367.131546875,1,8.598542,23552,50,2,1.46,1.85,11.06031934999919
measured_emulation,daim_process_per_rule,64,13,64,994275.417,15535.553390625,1,8.763098,23808,51,3,1.85,2.52,11.255541823004023
measured_emulation,daim_persistent,64,13,64,782466.236,12226.0349375,1,8.940582,24064,52,4,2.52,2.8,14.244053848000476
measured_emulation,daim_persistent,64,14,64,793681.079,12401.266859375,1,9.114561,24064,53,1,2.8,2.72,14.40917673399963
measured_emulation,daim_process_per_rule,64,14,64,961466.032,15022.90675,1,9.277758,24064,54,2,2.72,3.12,11.23469378700247
measured_emulation,direct_osken,64,14,64,704089.481,11001.398140625,1,9.422896,24448,55,3,3.12,2.72,11.915564782000729
measured_emulation,direct_ovs_cli,64,14,64,772189.02,12065.4534375,1,9.592268,24448,56,4,2.72,2.46,10.96360535400163
measured_emulation,direct_ovs_cli,64,15,64,825163.336,12893.177125,1,9.767236,24448,57,1,2.46,2.39,11.55472066400398
measured_emulation,daim_process_per_rule,64,15,64,981367.3420000001,15333.864718750001,1,9.94469,24448,58,2,2.39,2.69,11.297505433001788
measured_emulation,daim_persistent,64,15,64,862529.895,13477.029609375,1,10.135116,24448,59,3,2.69,2.16,14.60813053700258
measured_emulation,direct_osken,64,15,64,698144.198,10908.50309375,1,10.286049,24448,60,4,2.16,2.07,12.172089188999962
measured_emulation,daim_process_per_rule,64,16,64,975886.553,15248.227390625,1,10.458563999999999,24448,61,1,2.07,2.07,11.253274834998592
measured_emulation,direct_ovs_cli,64,16,64,806068.339,12594.817796875,1,10.649431,24448,62,2,2.07,2.34,11.327064044999133
measured_emulation,direct_osken,64,16,64,702254.774,10972.73084375,1,10.800830999999999,24448,63,3,2.34,1.97,12.072056960001646
measured_emulation,daim_persistent,64,16,64,774748.615,12105.447109375,1,11.002581,24448,64,4,1.97,1.74,14.681969452001795
measured_emulation,daim_persistent,64,17,64,783100.361,12235.943140625,1,11.183669,24448,65,1,1.74,1.62,14.229674963004072
measured_emulation,direct_osken,64,17,64,711020.022,11109.68784375,1,11.333261,24448,66,2,1.62,1.64,12.083661270000448
measured_emulation,direct_ovs_cli,64,17,64,776343.81,12130.37203125,1,11.510971,24448,67,3,1.64,1.85,11.001779407997674
measured_emulation,daim_process_per_rule,64,17,64,1064205.503,16628.210984375,1,11.679418,24576,68,4,1.85,2.45,11.291712796002685
measured_emulation,daim_persistent,64,18,64,801891.325,12529.551953125,1,11.864057,24576,69,1,2.45,1.9,14.44645596799819
measured_emulation,direct_osken,64,18,64,731106.075,11423.532421875,1,12.012075,24576,70,2,1.9,1.62,11.982989871998143
measured_emulation,daim_process_per_rule,64,18,64,967637.345,15119.333515625,1,12.180438,24576,71,3,1.62,1.69,11.418308790001902
measured_emulation,direct_ovs_cli,64,18,64,790616.425,12353.381640625,1,12.350232,24576,72,4,1.69,1.96,11.060498482002004
measured_emulation,direct_ovs_cli,64,19,64,789649.302,12338.27034375,1,12.519497999999999,24576,73,1,1.96,1.81,11.249210089998087
measured_emulation,daim_process_per_rule,64,19,64,995129.997,15548.906203125,1,12.700887,24576,74,2,1.81,1.41,11.207142244995339
measured_emulation,daim_persistent,64,19,64,874941.1140000001,13670.954906250001,1,12.9012,24576,75,3,1.41,1.17,15.032943596001132
measured_emulation,direct_osken,64,19,64,723875.944,11310.561625,1,13.064462,24576,76,4,1.17,1.9,12.10297377200186
measured_emulation,direct_ovs_cli,64,20,64,781409.453,12209.522703125,1,13.266753000000001,24576,77,1,1.9,2.27,11.288012675999198
measured_emulation,direct_osken,64,20,64,702357.288,10974.332625,1,13.420329,24576,78,2,2.27,1.99,12.2649637229988
measured_emulation,daim_persistent,64,20,64,917681.567,14338.774484375,1,13.612022,24576,79,3,1.99,1.77,14.662058600995806
measured_emulation,daim_process_per_rule,64,20,64,1097559.9780000001,17149.374656250002,1,13.831819,24576,80,4,1.77,2.12,11.943772350998188
measured_emulation,daim_process_per_rule,64,21,64,1042016.286,16281.50446875,1,14.023629,24576,81,1,2.12,2.17,11.238727715004643
measured_emulation,daim_persistent,64,21,64,831505.028,12992.2660625,1,14.198862,24576,82,2,2.17,1.69,14.542358496000816
measured_emulation,direct_ovs_cli,64,21,64,771850.767,12060.168234375,1,14.362106,24576,83,3,1.69,1.43,10.90118133899523
measured_emulation,direct_osken,64,21,64,715567.4,11180.740625,1,14.504895999999999,24576,84,4,1.43,1.19,11.94690436199744
measured_emulation,daim_process_per_rule,64,22,64,969365.574,15146.33709375,1,14.669102,24576,85,1,1.19,1.47,11.085192470003676
measured_emulation,direct_osken,64,22,64,735401.649,11490.650765625,1,14.814682000000001,24576,86,2,1.47,1.33,12.084426581001026
measured_emulation,daim_persistent,64,22,64,826477.982,12913.71846875,1,15.001728,24576,87,3,1.33,1.33,14.306226469998364
measured_emulation,direct_ovs_cli,64,22,64,801607.436,12525.1161875,1,15.162117,24576,88,4,1.33,1.35,10.881225176002772
measured_emulation,direct_ovs_cli,64,23,64,777321.078,12145.64184375,1,15.320471999999999,24576,89,1,1.35,1.13,11.135571168997558
measured_emulation,daim_process_per_rule,64,23,64,971703.459,15182.866546875,1,15.492157,24576,90,2,1.13,1.19,11.314044063001347
measured_emulation,direct_osken,64,23,64,709429.84,11084.84125,1,15.640888,24576,91,3,1.19,1.01,12.100473871003487
measured_emulation,daim_persistent,64,23,64,794319.65,12411.24453125,1,15.812647000000002,24576,92,4,1.01,0.79,14.382095870001649
measured_emulation,daim_persistent,64,24,64,785567.4619999999,12274.491593749999,1,15.989449,24576,93,1,0.79,1.14,14.165888987998187
measured_emulation,direct_osken,64,24,64,779433.683,12178.651296875,1,16.147672,24576,94,2,1.14,0.97,12.058759286002896
measured_emulation,daim_process_per_rule,64,24,64,985597.15,15399.95546875,1,16.319947,24576,95,3,0.97,0.99,11.101354029000504
measured_emulation,direct_ovs_cli,64,24,64,768111.287,12001.738859375,1,16.484507999999998,24576,96,4,0.99,1.63,11.157324091996998
measured_emulation,daim_process_per_rule,64,25,64,997681.314,15588.77053125,1,16.650427,24576,97,1,1.63,2.12,11.243332917998487
measured_emulation,direct_ovs_cli,64,25,64,755085.807,11798.215734375,1,16.809765,24576,98,2,2.12,1.87,11.056267742002092
measured_emulation,daim_persistent,64,25,64,780916.733,12201.823953125,1,16.984618,24576,99,3,1.87,1.53,14.439958048002154
measured_emulation,direct_osken,64,25,64,688915.528,10764.305125,1,17.128294,24576,100,4,1.53,1.42,12.09113035199698
measured_emulation,daim_process_per_rule,64,26,64,974997.179,15234.330921875,1,17.298011000000002,24576,101,1,1.42,1.82,11.270032605003507
measured_emulation,direct_ovs_cli,64,26,64,791654.352,12369.59925,1,17.465872,24576,102,2,1.82,2.44,10.909657696996874
measured_emulation,daim_persistent,64,26,64,846907.618,13232.93153125,1,17.640458,24576,103,3,2.44,2.2,14.586263536002662
measured_emulation,direct_osken,64,26,64,783989.246,12249.83196875,1,17.801927,24576,104,4,2.2,1.72,12.397211486000742
measured_emulation,daim_persistent,64,27,64,852425.809,13319.153265625,1,17.993205,24576,105,1,1.72,1.6,14.606474970998534
measured_emulation,daim_process_per_rule,64,27,64,971253.751,15175.839859375,1,18.167166,24576,106,2,1.6,1.32,11.208836325000448
measured_emulation,direct_ovs_cli,64,27,64,772283.378,12066.92778125,1,18.329296,24576,107,3,1.32,1.27,11.047731649006892
measured_emulation,direct_osken,64,27,64,740667.728,11572.93325,1,18.475706000000002,24576,108,4,1.27,1.08,12.07432844700088
measured_emulation,direct_osken,64,28,64,729605.485,11400.085703125,1,18.621766,24576,109,1,1.08,0.92,12.053756749002787
measured_emulation,daim_process_per_rule,64,28,64,998156.199,15596.190609375,1,18.792732,24576,110,2,0.92,1.89,11.336069773002237
measured_emulation,direct_ovs_cli,64,28,64,756454.173,11819.596453125,1,18.964806,24576,111,3,1.89,2.63,10.869540872998186
measured_emulation,daim_persistent,64,28,64,846754.011,13230.531421875,1,19.139132,24576,112,4,2.63,2.67,14.688341654000396
measured_emulation,direct_osken,64,29,64,741621.181,11587.830953125,1,19.28262,24576,113,1,2.67,2.22,11.980725245994108
measured_emulation,daim_persistent,64,29,64,820543.406,12820.99071875,1,19.461570000000002,24576,114,2,2.22,1.88,14.527693438001734
measured_emulation,daim_process_per_rule,64,29,64,996379.575,15568.430859375,1,19.629064,24576,115,3,1.88,1.54,11.358114849004778
measured_emulation,direct_ovs_cli,64,29,64,766762.302,11980.66096875,1,19.787381,24576,116,4,1.54,1.54,10.930941954997252
measured_emulation,direct_osken,64,30,64,701288.589,10957.634203125,1,19.933371,24576,117,1,1.54,1.38,12.193489381999825
measured_emulation,daim_process_per_rule,64,30,64,996808.038,15575.12559375,1,20.115682,24576,118,2,1.38,1.15,11.2461109309952
measured_emulation,direct_ovs_cli,64,30,64,773396.7609999999,12084.324390624999,1,20.282347,24576,119,3,1.15,1.37,10.964643589999469
measured_emulation,daim_persistent,64,30,64,792446.661,12381.979078125,1,20.46142,24576,120,4,1.37,1.35,14.281172839000646
