mode,repetition,evidence_level,n_senders,priming_ok,signal_ok,pings_succeeded,pings_attempted,no_rule_events,flows_installed,elapsed_s,throughput_installs_per_s,cpu_s,max_rss_kib,control_bytes_total,control_messages_total,control_bytes_source,echo_replies_sent,ovs_vswitchd_cpu_s_delta,ovs_vswitchd_rss_kib_after
persistent,6,measured_emulation,40,1,1,40,40,156,84,0.296475246,283.3288820342188,0.03437599999999996,65704,8064,84,measured,0,0.0,85300
persistent,7,measured_emulation,40,1,1,40,40,155,84,0.314179133,267.36339615527555,0.037243000000000026,65692,8064,84,measured,0,0.0,85300
persistent,8,measured_emulation,40,1,1,40,40,139,84,0.429689077,195.49019162057965,0.06816399999999989,65600,8064,84,measured,0,0.0,85300
persistent,9,measured_emulation,40,1,1,40,40,195,84,0.608253226,138.10037729253244,0.129212,65740,8064,84,measured,0,0.0,85300
persistent,10,measured_emulation,40,1,1,40,40,155,84,0.290725128,288.93271310211617,0.030477000000000032,65680,8064,84,measured,0,1.0,85300
persistent,11,measured_emulation,40,1,1,40,40,154,84,0.28893867,290.71913427164316,0.030384999999999995,65504,8064,84,measured,0,0.0,85300
persistent,12,measured_emulation,40,1,1,40,40,147,84,0.29125959,288.4025209264354,0.030082000000000053,65660,8064,84,measured,0,0.0,85300
persistent,13,measured_emulation,40,1,1,40,40,163,84,0.353926671,237.33729860669357,0.054610999999999965,65696,8064,84,measured,0,0.0,85300
persistent,14,measured_emulation,40,1,1,40,40,141,84,0.360597886,232.9464571514432,0.049143999999999965,65700,8064,84,measured,0,0.0,85300
persistent,15,measured_emulation,40,1,1,40,40,146,84,0.275573711,304.818626186008,0.032676999999999956,65628,8064,84,measured,0,0.0,85300
persistent,16,measured_emulation,40,1,1,40,40,171,84,0.635478939,132.18376699027002,0.14714899999999997,65472,8064,84,measured,0,0.0,85300
persistent,17,measured_emulation,40,1,1,40,40,175,84,0.62775719,133.80969798211314,0.13748000000000027,65616,8064,84,measured,0,1.0,85300
persistent,18,measured_emulation,40,1,1,40,40,142,84,0.289135435,290.5212915186269,0.028747000000000023,65648,8064,84,measured,0,0.0,85300
persistent,19,measured_emulation,40,1,1,40,40,157,84,0.29192773,287.7424491328727,0.035447000000000006,65708,8064,84,measured,0,0.0,85300
persistent,20,measured_emulation,40,1,1,40,40,154,84,0.295802651,283.9731142233745,0.03270200000000001,65684,8064,84,measured,0,0.0,85300
persistent,21,measured_emulation,40,1,1,40,40,180,84,0.391210507,214.71815939749288,0.06480599999999997,65692,8064,84,measured,0,0.0,85300
persistent,22,measured_emulation,40,1,1,40,40,158,84,0.304341451,276.0057814142445,0.03737100000000004,65648,8064,84,measured,0,0.0,85300
persistent,23,measured_emulation,40,1,1,40,40,161,84,0.317977045,264.1700126498125,0.04150999999999999,65600,8064,84,measured,0,0.0,85300
persistent,24,measured_emulation,40,1,1,40,40,149,84,0.295544865,284.2208068815542,0.035445000000000004,65596,8064,84,measured,0,1.0,85300
persistent,25,measured_emulation,40,1,1,40,40,161,84,0.319658152,262.78072207587564,0.042039999999999966,65736,8064,84,measured,0,0.0,85300
persistent,26,measured_emulation,40,1,1,40,40,145,84,0.29825654,281.6367413100145,0.03232299999999999,65700,8064,84,measured,0,0.0,85300
persistent,27,measured_emulation,40,1,1,40,40,169,84,0.361633465,232.27938819212986,0.052002999999999966,65692,8064,84,measured,0,0.0,85300
persistent,28,measured_emulation,40,1,1,40,40,149,84,0.374902438,224.05829220027638,0.061805,65700,8064,84,measured,0,0.0,85300
persistent,29,measured_emulation,40,1,1,40,40,161,84,0.320414446,262.160464512889,0.04109299999999999,65704,8064,84,measured,0,0.0,85300
persistent,30,measured_emulation,40,1,1,40,40,163,84,0.317452104,264.6068460141628,0.04396800000000001,65636,8064,84,measured,0,0.0,85300
