mode,repetition,priming_ok,ping_success,evidence_level,t_dispatch_enter_ns,t_pre_ctypes_ns,c_entry_ns,c_decision_done_ns,c_table_write_done_ns,c_install_done_ns,c_exit_ns,t_post_ctypes_ns,t_packetout_sent_ns,t_confirmed_ns,installed,confirmed,trial_order,t_parse_done_ns,t_state_update_done_ns,t_decision_done_ns,t_flowmod_sent_ns
persistent,6,1,1,measured_emulation,243122152690,243122205358,243122215650,243122216025,243122216483,243122259984,243122260067,243122264359,243122291026,243124121396,True,True,41,,,,
persistent,26,1,1,measured_emulation,250445818977,250445877355,250445888272,250445888689,250445889064,250445900189,250445900231,250445901522,250445918190,250447714812,True,True,42,,,,
persistent,7,1,1,measured_emulation,257781523226,257781587353,257781599854,257781600354,257781600854,257781624063,257781624105,257781625897,257781644564,257783925204,True,True,43,,,,
process_per_rule,4,1,1,measured_emulation,262666429512,262666501765,262666519307,262666520099,262666520432,262676303386,262676303594,262676308969,262676357555,262678113420,True,True,44,,,,
reactive_osken,25,1,1,measured_emulation,267615778653,,,,,,,,267616979203,267620420428,True,True,45,267616697816,267616702275,267616703358,267616962202
persistent,23,1,1,measured_emulation,274895285968,274895343011,274895354095,274895354512,274895355220,274895378305,274895378346,274895380180,274895396930,274897189460,True,True,46,,,,
reactive_osken,15,1,1,measured_emulation,279870726658,,,,,,,,279870852621,279872626648,True,True,47,279870778118,279870779326,279870779576,279870845287
process_per_rule,29,1,1,measured_emulation,284751938087,284752052050,284752069884,284752070675,284752071176,284761244943,284761245109,284761249693,284761285153,284763160224,True,True,48,,,,
process_per_rule,1,1,1,measured_emulation,290023809871,290023925709,290023951168,290023952418,290023952877,290040443993,290040444243,290040448243,290040487953,290042563947,True,True,49,,,,
persistent,3,1,1,measured_emulation,297331434742,297331491369,297331501953,297331502370,297331502745,297331546538,297331546580,297331549788,297331567247,297333178056,True,True,50,,,,
process_per_rule,3,1,1,measured_emulation,302480857597,302480918724,302480932975,302480933642,302480934017,302490497318,302490497568,302490501735,302490529736,302492414387,True,True,51,,,,
persistent,10,1,1,measured_emulation,309771871512,309771945890,309771960224,309771960807,309771961266,309771975016,309771975058,309771976558,309771997183,309775122210,True,True,52,,,,
reactive_osken,24,1,1,measured_emulation,314685969866,,,,,,,,314686148789,314687827888,True,True,53,314686069994,314686071369,314686071619,314686141413
process_per_rule,8,1,1,measured_emulation,319838779428,319838900723,319838928391,319838929808,319838930433,319858598479,319858598688,319858604605,319858659315,319863546482,True,True,54,,,,
reactive_osken,8,1,1,measured_emulation,324886919286,,,,,,,,324887489096,324892698106,True,True,55,324887237380,324887240755,324887241338,324887467054
reactive_osken,22,1,1,measured_emulation,329681406476,,,,,,,,329681807739,329687329924,True,True,56,329681566439,329681569940,329681570690,329681784363
process_per_rule,28,1,1,measured_emulation,334641615689,334641800821,334641844405,334641846405,334641847530,334660495231,334660495439,334660501023,334660548899,334663298865,True,True,57,,,,
process_per_rule,12,1,1,measured_emulation,339403239834,339403306711,339403322711,339403323336,339403323586,339412657809,339412657892,339412662476,339412702644,339414546162,True,True,58,,,,
reactive_osken,21,1,1,measured_emulation,344319362134,,,,,,,,344319580933,344322496694,True,True,59,344319444803,344319446470,344319446803,344319571349
persistent,1,1,1,measured_emulation,351614220161,351614288914,351614299122,351614299497,351614299872,351614312623,351614312664,351614314039,351614330832,351616971916,True,True,60,,,,
reactive_osken,16,1,1,measured_emulation,356477649188,,,,,,,,356477790776,356479683336,True,True,61,356477700856,356477702356,356477702648,356477781859
persistent,21,1,1,measured_emulation,364257247063,364257323857,364257336357,364257336816,364257337316,364257358483,364257358525,364257360275,364257379067,364260253449,True,True,62,,,,
persistent,27,1,1,measured_emulation,371622964905,371623092201,371623104034,371623104493,371623104826,371623128743,371623128827,371623130619,371623152119,371624907549,True,True,63,,,,
reactive_osken,14,1,1,measured_emulation,376701722669,,,,,,,,376701844214,376704487046,True,True,64,376701772045,376701773004,376701773170,376701837339
process_per_rule,11,1,1,measured_emulation,381857173825,381857280953,381857305454,381857306579,381857307037,381871598061,381871598228,381871602853,381871644479,381874300395,True,True,65,,,,
