evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position
measured_emulation,daim_process_per_rule,16,13,16,201365.938,12585.371125,1,27.245164000000003,24448,198,2
measured_emulation,daim_persistent,16,13,16,101463.662,6341.478875,1,27.299516999999998,24448,199,3
measured_emulation,direct_ovs_cli,16,13,16,155834.471,9739.6544375,1,27.344377,24448,200,4
measured_emulation,direct_ovs_cli,32,13,32,327162.722,10223.8350625,1,27.423164,24448,201,1
measured_emulation,direct_osken,32,13,32,197274.421,6164.82565625,1,27.503313,24448,202,2
measured_emulation,daim_persistent,32,13,32,293111.30700000003,9159.728343750001,1,27.597701999999998,24448,203,3
measured_emulation,daim_process_per_rule,32,13,32,411012.371,12844.13659375,1,27.682059000000002,24448,204,4
measured_emulation,direct_osken,64,13,64,737499.59,11523.43109375,1,27.811098,24448,205,1
measured_emulation,daim_process_per_rule,64,13,64,1000590.063,15634.219734375,1,27.981223999999997,24448,206,2
measured_emulation,direct_ovs_cli,64,13,64,758273.47,11848.02296875,1,28.141658,24448,207,3
measured_emulation,daim_persistent,64,13,64,854581.694,13352.83896875,1,28.317999,24448,208,4
measured_emulation,daim_process_per_rule,8,14,8,104847.471,13105.933875,1,28.365742,24448,209,1
measured_emulation,daim_persistent,8,14,8,43665.503,5458.187875,1,28.3903,24448,210,2
measured_emulation,direct_ovs_cli,8,14,8,75809.793,9476.224125,1,28.411995,24448,211,3
measured_emulation,direct_osken,8,14,8,11366.074,1420.75925,1,28.434379,24448,212,4
measured_emulation,direct_ovs_cli,16,14,16,148832.612,9302.03825,1,28.47297,24448,213,1
measured_emulation,direct_osken,16,14,16,55468.889,3466.8055625,1,28.513119,24448,214,2
measured_emulation,daim_process_per_rule,16,14,16,200525.473,12532.8420625,1,28.557077,24448,215,3
measured_emulation,daim_persistent,16,14,16,106827.72899999999,6676.7330624999995,1,28.605364,24448,216,4
measured_emulation,daim_persistent,32,14,32,255016.201,7969.25628125,1,28.689359,24448,217,1
measured_emulation,daim_process_per_rule,32,14,32,408947.022,12779.5944375,1,28.772529999999996,24448,218,2
measured_emulation,direct_osken,32,14,32,225407.034,7043.9698125,1,28.853456,24448,219,3
measured_emulation,direct_ovs_cli,32,14,32,309485.216,9671.413,1,28.935979,24448,220,4
measured_emulation,daim_process_per_rule,64,14,64,1001737.779,15652.152796875,1,29.087362,24448,221,1
measured_emulation,direct_osken,64,14,64,708554.686,11071.16696875,1,29.238452000000002,24448,222,2
measured_emulation,daim_persistent,64,14,64,787460.971,12304.077671875,1,29.41734,24576,223,3
measured_emulation,direct_ovs_cli,64,14,64,787214.504,12300.226625,1,29.58155,24576,224,4
