evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib
measured_emulation,direct_osken,8,1,8,200355.288,25044.411,1,90.068513,21120
measured_emulation,direct_osken,8,2,8,322905.473,40363.184125,1,90.41243,21120
measured_emulation,direct_osken,8,3,8,253385.612,31673.2015,1,90.76557,21120
measured_emulation,direct_osken,8,4,8,194197.041,24274.630125,1,91.110273,21120
measured_emulation,direct_osken,8,5,8,213863.52,26732.94,1,91.4442,21120
measured_emulation,direct_osken,16,1,16,725548.605,45346.7878125,1,92.093271,21120
measured_emulation,direct_osken,16,2,16,710980.103,44436.2564375,1,92.74928600000001,21120
measured_emulation,direct_osken,16,3,16,869417.988,54338.62425,1,93.435989,21120
measured_emulation,direct_osken,16,4,16,730500.353,45656.2720625,1,94.07936900000001,21120
measured_emulation,direct_osken,16,5,16,561811.031,35113.1894375,1,94.74402599999999,21120
measured_emulation,direct_osken,32,1,32,2682680.444,83833.763875,1,95.951509,21120
measured_emulation,direct_osken,32,2,32,2707130.467,84597.82709375,1,97.26804899999999,21120
measured_emulation,direct_osken,32,3,32,2695310.63,84228.4571875,1,98.629291,21120
measured_emulation,direct_osken,32,4,32,3122766.418,97586.4505625,1,99.936948,21120
measured_emulation,direct_osken,32,5,32,2827571.789,88361.61840625,1,101.267417,21120
measured_emulation,direct_osken,64,1,64,11032752.825,172386.762890625,1,103.723005,21120
measured_emulation,direct_osken,64,2,64,10561285.883,165020.091921875,1,106.37822800000001,21120
measured_emulation,direct_osken,64,3,64,10769792.297,168278.004640625,1,109.043177,21120
measured_emulation,direct_osken,64,4,64,11457279.844,179019.9975625,1,111.66833700000001,21120
measured_emulation,direct_osken,64,5,64,10813932.067,168967.688546875,1,114.23849799999999,21248
