evidence_level,switch_count,method,repetition,measured,switch,direction,latency_us,returncode,stderr
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s2,reverse,9430.959,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s3,forward,9608.167,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s3,reverse,9750.791,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s4,forward,9290.583,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s4,reverse,9854.291,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s5,forward,9949.375,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s5,reverse,9256.916,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s6,forward,8945.542,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s6,reverse,9440.458,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s7,forward,9701.167,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s7,reverse,9290.917,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s8,forward,9595.791,0,
measured_emulation_calibration,8,direct_ovs_ofctl,2,1,s8,reverse,9131.792,0,
measured_emulation_calibration,8,daim_adapter,2,1,s1,forward,13075.709,0,
measured_emulation_calibration,8,daim_adapter,2,1,s1,reverse,11742.583,0,
measured_emulation_calibration,8,daim_adapter,2,1,s2,forward,12802.375,0,
measured_emulation_calibration,8,daim_adapter,2,1,s2,reverse,12346.583,0,
measured_emulation_calibration,8,daim_adapter,2,1,s3,forward,12374.0,0,
measured_emulation_calibration,8,daim_adapter,2,1,s3,reverse,12474.667,0,
measured_emulation_calibration,8,daim_adapter,2,1,s4,forward,12031.625,0,
measured_emulation_calibration,8,daim_adapter,2,1,s4,reverse,13317.0,0,
measured_emulation_calibration,8,daim_adapter,2,1,s5,forward,12613.125,0,
measured_emulation_calibration,8,daim_adapter,2,1,s5,reverse,12506.208,0,
measured_emulation_calibration,8,daim_adapter,2,1,s6,forward,13034.584,0,
measured_emulation_calibration,8,daim_adapter,2,1,s6,reverse,13601.875,0,
measured_emulation_calibration,8,daim_adapter,2,1,s7,forward,13690.5,0,
measured_emulation_calibration,8,daim_adapter,2,1,s7,reverse,12857.792,0,
measured_emulation_calibration,8,daim_adapter,2,1,s8,forward,12113.208,0,
measured_emulation_calibration,8,daim_adapter,2,1,s8,reverse,12185.0,0,
measured_emulation_calibration,8,daim_adapter,3,1,s1,forward,12529.708,0,
measured_emulation_calibration,8,daim_adapter,3,1,s1,reverse,12755.666,0,
