switch_count,method,n_rules,n_runs,latency_us_mean,latency_us_sd,latency_us_p50,latency_us_p95,latency_us_p99,run_wall_ms_mean,child_cpu_s_mean,ovs_rss_after_kib_mean,ping_success_rate
8,daim_adapter,80,5,12630.4088125,527.8121998667493,12563.271,13597.916350000001,14252.825499999999,202.17745860000002,0.09222720000000004,74380.8,1.0
8,direct_ovs_ofctl,80,5,9380.5894875,284.1371598257605,9386.5405,9815.560749999999,9898.45318,150.17024859999998,0.08259899999999995,74416.8,1.0
16,daim_adapter,160,5,12592.96941875,896.3686491765224,12514.917,13349.170049999999,13674.253089999998,403.1501086,0.18907120000000013,75870.4,1.0
16,direct_ovs_ofctl,160,5,9568.966581249999,473.36617024621484,9534.938,10323.2339,11284.926909999998,306.3614046,0.16796600000000012,75884.0,1.0
32,daim_adapter,320,5,13000.719465625,593.9272235631748,12947.5185,14026.7052,14712.97786,832.4179582,0.37266680000000013,78428.0,1.0
32,direct_ovs_ofctl,320,5,9944.00175,657.7998954531262,9891.5875,10566.382450000001,11618.6401,636.7394694000001,0.3354597999999999,78414.4,1.0
64,daim_adapter,640,5,13989.2590515625,694.1517767218934,13942.369,15038.987399999998,15681.141760000004,1791.4385836,0.7491574000000004,83652.8,1.0
64,direct_ovs_ofctl,640,5,10849.0948859375,517.1810858089243,10800.556,11738.8745,12160.079600000001,1389.4449802,0.6781049999999995,83665.6,1.0
